MARCA,REFERENCIA,PROCESADOR,RAM,PANTALLA,DISCODURO,DISCOSSOLIDOS,PRECIOS
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
Asus,Portátil Asus ZenBook 14 UM425 14 Pulgadas AMD Ryzen R5 8GB 512GB,AMD RYZEN R5,8GB,14 pulgadas,No aplica,512GB,$  3.199.900 
Lenovo,Portátil Lenovo 14 pulgadas AMD RYZEN R7 16GB 512GB,AMD RYZEN R7,16GB,14 pulgadas,No aplica,512GB,$  3.299.900 
HP,Portátil HP 15.6 Pulgadas AMD RYZEN R5 4GB 256GB,AMD RYZEN R5,4GB,15.6 pulgadas,No aplica,256GB,$  1.769.000 
Huawei,Portátil Huawei MateBook D14 Intel Ci5 Disco 512GB SSD 8GB RAM + Morral + Mouse,Intel® CoreTM i5-10210U,8GB,14 pulgadas,No aplica,512GB,$  2.999.900 
HP,Portátil HP Pavilion 13.3 Pulgadas Intel Core i5 8GB 256GB,Intel Core i5,8GB,13.3 pulgadas,No aplica,256GB,$  3.129.000 
Huawei,Portátil Huawei Matebook D15 15.6 Pulgadas Intel Core i5 16GB 512GB,Intel Core i5,16GB,15.6 pulgadas,No aplica,512GB,$  3.699.900 
Asus,Portátil Asus E410MA 14 Pulgadas Intel Celeron 4GB 128GB,Intel Celeron,4GB,14 pulgadas,No aplica,128GB,$  1.199.900 
Asus,Portátil Gamer Asus Tuf Dash F15 FX516PM 15.6 Pulgadas Intel Core i7 16GB 512GB,Intel Core i7,16GB,15.6 pulgadas,No aplica,512GB,$  6.499.000 
Asus,Portátil Gamer Asus Rog Zephyrus G14 14 Pulgadas AMD RYZEN R7 16GB 512GB,AMD RYZEN R7,16GB,14 pulgadas,No aplica,512GB,$  5.499.900 
Asus,Portátil Asus X415EA 14 Pulgadas Intel Core i3 4GB 256GB,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.679.900 
HP,Portátil HP 15.6 Pulgadas AMD RYZEN R7 8GB 512GB,AMD RYZEN R7,8GB,15.6 pulgadas,No aplica,512GB,$  4.899.000 
HP,Portátil HP 14 Pulgadas Intel Core i3 4GB 1TB ,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.599.000 
Huawei,Portátil Huawei Matebook 14 Pulgadas AMD RYZEN R7 8GB 512GB,AMD RYZEN R7,8GB,14 pulgadas,No aplica,512GB,$  4.199.900 
Asus,Portátil Asus X415MA 14 Pulgadas Intel Pentium 4GB 128GB,Intel Pentium,4GB,14 pulgadas,No aplica,128GB,$  1.249.900 
Asus,Portátil Asus Zenbook Duo 14 UX482 14 pulgadas Intel Core i7 8GB 512GB,Intel Core i7,8GB,14 pulgadas,No aplica,512GB,$  5.999.000 
HP,Portátil HP Laptop 15-ef1019la 15.6 pulgadas AMD RYZEN R5 8GB 512GB,AMD RYZEN R5,8GB,15.6 pulgadas,No aplica,512GB,$  2.549.000 
Lenovo,Portátil Lenovo 14 pulgadas Intel Core i3 4GB 256GB,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.599.900 
HP,Portátil hp 240 g7 celeron n4020 4gb 500gb linux,Intel Celeron,4GB,14 pulgadas,500GB,No aplica,$  899.000 (P
HP,Portátil HP Pavilion 15.6 Pulgadas AMD RYZEN R5 8GB 256GB,AMD RYZEN R5,8GB,15.6 pulgadas,No aplica,256GB,$  2.899.000 
HP,Portátil HP Pavilion 15.6 Pulgadas AMD RYZEN R5 8GB 512GB,AMD RYZEN R5,8GB,15.6 pulgadas,No aplica,512GB,$  2.999.000 
Lenovo,Portátil 2 en 1 Lenovo Yoga Duet 7 13 Pulgadas Intel Core i5 8GB 512GB,Intel Core i5,8GB,13 pulgadas,No aplica,512GB,$  4.749.000 
HP,Portátil HP 15.6 Pulgadas AMD RYZEN R3 4GB 256GB,AMD RYZEN R3,4GB,15.6 pulgadas,No aplica,256GB,$  1.699.000 
Asus,Portátil Gamer Asus Rog Flow X13 GV301QC 13.4 Pulgadas AMD Ryzen 9 16GB 512GB,AMD Ryzen 9,16GB,13.4 pulgadas,No aplica,512GB,$  7.029.900 
Acer,Portátil Gamer Acer Triton 500 15.6 Pulgadas Intel Core i7 32GB 1TB,Intel Core i7,32GB,15.6 pulgadas,No aplica,1TB,$  8.999.000 
HP,Portátil hp 15-da intel core i5 4gb 256gb ssd,Intel Core i5,4GB,15.6 pulgadas,No tiene dato.,No tiene dato.,$  1.869.900 
Lenovo,Portátil Lenovo s145 intel core i3 1005g1 8gb 1tb,Intel Core i3,8GB,14 pulgadas,1TB,No aplica,$  1.730.000 
Asus,Portátil Gamer Asus Rog Zephyrus G14 14 Pulgadas AMD Ryzen 9 16GB 1TB,AMD Ryzen 9,16GB,14 pulgadas,No aplica,1TB,$  8.799.900 
Asus,Asus ZenBook ProDuo 15 OLED UX582 15.6 Pulgadas Intel Core i9 32GB 1TB,Intel Core i9,32GB,15.6 pulgadas,No aplica,1TB,$  13.999.900
HP,Portátil hp 245 g7 14 pulgada amd athlon  8gb 1tb ,AMD,8GB,14 pulgadas,1TB,No aplica,$  1.135.000 
HP,Portátil HP Pavilion Gaming 15.6 Pulgadas AMD RYZEN R7 12GB 512GB,AMD RYZEN R7,12GB,15.6 pulgadas,No aplica,512GB,$  5.399.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Asus,"Computador portátil Asus 15.6"" x543ma-dm1336 intel",Intel Celeron,4GB,15.6 pulgadas,No aplica,128GB,$  1.186.900 
HP,Portátil HP Laptop 14 Pulgadas Intel Pentium 4GB 256GB,Intel Pentium,4GB,14 pulgadas,No aplica,256GB,$  1.399.000 
Lenovo,Portátil lenovo thinkbook 14iml 14 puLGadas intel,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.699.000 
Asus,Portátil Asus Vivobook 14 X415ja Core I5,Intel Core i5,8GB,14 pulgadas,No aplica,256GB,$  2.599.888 
Asus,"Portatil asus x415ja ek483 core i3 4gb, 1tb",Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.560.000 
Asus,Portátil Gamer Asus Rog Flow X13 GV 301 13.5 Pulgadas AMD Ryzen 9 16GB 1TB,AMD Ryzen 9,16GB,13.5 pulgadas,No aplica,1TB,$  11.549.900
Asus,Portátil Gamer Asus Rog Flow X13 GV301QE 13.4 Pulgadas AMD Ryzen 9 16GB 1TB,AMD Ryzen 9,16GB,13.4 pulgadas,No aplica,1TB,$  14.899.900
Acer,"Portatil Acer A515-5 Ci3 8256 15"" Intel Core 8gb",Intel core,8GB,15.6 pulgadas,No aplica,1 GB,$  2.294.201 
Lenovo,Portátil lenovo 82c4012vlm 14 puLGadas 4gb 256gb s,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.539.888 
Asus,"Computador portátil Asus 14"" x415ma-bv462ts intel®",Intel Celeron,4GB,14 pulgadas,No aplica,128GB,$  1.500.900 
Lenovo,Portatil Lenovo D330-10igl Celeron 64gbemmc Win10s,Intel Celeron,4GB,10.1 pulgadas,No aplica,64GB,$  987.900  
Acer,"Portátil Acer A315-57 I5 15.6"" Ram 8gb",Intel Core i5,8GB,15.6 pulgadas,256GB,No aplica,$  2.899.900 
Asus,Portátil Asus ZenBook Duo 14 UX482 14 Pulgadas Intel Core i7 16GB 512GB,Intel Core i7,16GB,14 pulgadas,No aplica,512GB,$  6.919.900 
HP,Portátil hp 15-da2027la 15 puLGadas intel core i5,Intel Core i5,4GB,15 pulgadas,No aplica,256GB,$  1.999.900 
Asus,"Portátil Asus X415ja Ek483 Core I3, 8gb, 1tb, 14""",Intel Core i3,8GB,14 pulgadas,1TB,No aplica,$  1.665.000 
HP,Portátil HP Pavilion 15.6 Pulgadas AMD RYZEN R3 8GB 256GB,AMD RYZEN R3,8GB,15.6 pulgadas,No aplica,256GB,$  2.359.000 
HP,Portátil HP 16 Pulgadas AMD RYZEN R7 8GB 512GB,AMD RYZEN R7,8GB,16 pulgadas,No aplica,512GB,$  5.999.000 
Apple,MacBook Pro Chip M1 Pro 512GB SSD Plata MKGR3E/A 14.2 Pulgadas,Chip M1 Pro,16GB,14.2 pulgadas,No aplica,512GB,$  10.906.900
Lenovo,"Portatil levono v14 - ada athlon 3020e/4gb/1tb/14""",AMD,4GB,14 pulgadas,1TB,No tiene dato.,$  995.000  
Asus,Portátil Asus X415ma-Bv040ts Cel 4gb 128gb Ssd 14,Intel,4GB,14 pulgadas,128 GB,No aplica,$  1.415.900 
Lenovo,Portátil Lenovo Idea 14itl6 Core I3 11va 8gb 1tb,Intel Core i3,8GB,14 pulgadas,1TB,No aplica,$  1.785.000 
Apple,MacBook Pro Chip M1 Max 1TB SSD Plata MK1H3E/A 16.2 Pulgadas,Chip M1 Max,32GB,16.2 pulgadas,No aplica,1TB,$  18.772.900
Acer,Portátil Acer ConcetD 3 15.6 Pulgadas Intel Core i7 16GB 1TB,Intel Core i7,16GB,15.6 pulgadas,No aplica,1TB,$  5.899.000 
HP,Portatil HP 245 g7 amd a4 ram4gb 1tb 14pulgadas.,AMD A4,4GB,14 pulgadas,1TB,No aplica,$  965.700  
